รหัสเขตสุขภาพ,จังหวัด,ชื่อโรงพยาบาล,ชื่อ_รพ_ภาษาอังกฤษ,รหัส H Code,สังกัด,ชนิด รพ.
4,พระนครศรีอยุธยา,โรงพยาบาลการุญเวช อยุธยา,KARUNVEJ AYUTHAYA HOSPITAL,15096,เอกชน,รพ.เอกชน
6,สมุทรปราการ,โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก,NULL,15138,เอกชน,รพ.เอกชน
1,พะเยา,โรงพยาบาลค่ายขุนเจืองธรรมิกราช,FORT KHUNCHUEANGTHAMMIKKARAT HOSPITAL,15140,กระทรวงกลาโหม,กรมแพทย์ทหารบก
13,กรุงเทพมหานคร,โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่,BANGKOK 8 HOSPITAL,15147,เอกชน,รพ.เอกชน
6,สมุทรปราการ,ศูนย์เวชศาสตร์ฟื้นฟูสภากาชาดไทย,Thairedcross Rehabilitation Center,15198,หน่วยงานอิสระ,หน่วยราชการอิสระ
13,กรุงเทพมหานคร,โรงพยาบาลคณะทันตแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,FACULTY OF DENTISTRY CHULALONGKORN UNIVERSITY,15199,กระทรวงศึกษาธิการ,กระทรวงศึกษาธิการ
6,ระยอง,โรงพยาบาลกรุงเทพระยอง,BANGKOK HOSPITAL RAYONG,15219,เอกชน,รพ.เอกชน
6,สมุทรปราการ,โรงพยาบาลป้อมพระจุลจอมเกล้า ฐานทัพเรือกรุงเทพ,NULL,15229,กระทรวงกลาโหม,กรมแพทย์ทหารเรือ
13,กรุงเทพมหานคร,โรงพยาบาลสินแพทย์,SYNPHAET HOSPITAL,15260,เอกชน,รพ.เอกชน
7,ขอนแก่น,โรงพยาบาลทันตกรรม คณะทันตแพทยศาสตร์  มหาวิทยาลัยขอนแก่น,"FACULTY OF DENTISTRY, KHON KAEN UNIVERSITY",15270,มหาวิทยาลัย,โรงเรียนแพทย์
